日期,开盘价(元),收盘价(元),量比,TAPI加权指数成交值,VMA量简单移动平均,VMACD量指数平滑异同平均,VOSC成交量震荡,VSTD成交量标准差,CR能量指标,PSY心理指标,VR成交量比率,AR,BR,WAD威廉聚散指标,MOBV能量潮,PVT量价趋势指标,WVAD威廉变异离散量,BBI多空指数,MA简单移动平均,EXPMA指数平均数,MACD指数平滑异同平均,MTM动力指标,PRICEOSC价格振荡指标,TRIX三重指数平滑平均,BIAS乖离率,CCI顺势指标,DBCD异同离差乖离率,DPO区间震荡线,K,D,J,RSI相对强弱指标,SRDM动向速度比率,VROC量变动速率,VRSI量相对强弱,WR威廉指标,ADTM动态买卖气指标,CDP逆势操作,DPTB大盘同步指标-上证指数,JDQS阶段强势指标-上证180,JDRS阶段弱势指标--上证指数,MI动量指标,MICD异同离差动力指数,RC变化率指数,RCCD异同离差变化率指数,SRMI（MI修正指标）,ATR真实波幅,CVLT佳庆离散指标,MASS梅斯线,STD标准差,VHF纵横指标
2024/12/19,3.38,3.39,0.388,"79,768,425.37","183,837,281.00","217,798.36",36.6138,"85,431,795.40",138.9091,41.6667,127.3318,165.4545,144.0217,33.35,"418,617.12","704,970,102.67","303,847,406.30",3.4611,3.636,3.5191,0.0025,-0.1,7.5819,0.9432,-2.7027,-24.3032,0.0033,-0.1209,39.2862,57.6008,2.6571,42.9191,0.481,17.1045,40.0369,72.807,0.5939,3.4475,0.7143,0.4444,0.1818,0.344,0.0129,124.6324,0.9358,0.0177,0.2379,102.4461,28.8275,0.3187,0.4809
2024/12/18,3.51,3.43,0.4905,"102,754,602.92","207,244,585.60","7,934,576.24",37.509,"88,409,621.55",143.4701,41.6667,133.8399,163.6364,147.7778,33.39,"-589,816.94","705,907,955.81","284,247,155.61",3.4961,3.726,3.5837,0.0467,0.09,7.6147,0.9685,-1.1765,6.5189,0.0044,-0.0627,51.7129,66.7581,21.6225,45.2164,0.4444,23.1494,42.8804,65.2893,0.6193,3.5825,0.7143,0.4444,0.2727,0.3607,0.0131,128.9474,0.9194,0.0787,0.2386,106.1985,28.6867,0.3186,0.4748
2024/12/17,3.8,3.52,0.895,"175,459,611.08","208,051,674.40","16,949,216.78",38.506,"91,542,676.34",163.7295,50,143.1778,171.519,155.814,33.5,"-910,070.86","708,517,385.92","316,270,266.31",3.5292,3.738,3.6605,0.1004,0.24,7.5698,0.9526,1.9059,55.7865,0.0058,0.0455,63.8078,74.2807,42.8622,50.2607,1.2642,122.732,53.0913,55.1181,0.6599,3.925,0.8571,0.4444,0.1818,0.3753,0.0126,119.7279,0.9035,0.0938,0.2343,148.1475,28.4054,0.3163,0.4913
2024/12/16,3.9,3.86,1.4219,"232,249,034.20","192,593,796.40","22,353,642.07",38.3647,"93,459,201.34",216.4921,58.3333,166.9857,203.0075,186.1111,33.84,"-839,368.37","723,700,017.66","446,694,839.86",3.5323,3.702,3.7307,0.1545,0.53,7.1188,0.8832,12.8655,160.0384,0.0066,0.4118,77.8218,79.5171,74.4313,77.4678,7.0625,404.1184,62.8659,26.6667,0.7868,3.995,0.8571,0.4444,0.1667,0.3721,0.0111,135.9155,0.8879,0.1632,0.215,142.8189,28.0516,0.3096,0.5433
2024/12/13,3.85,3.98,2.9984,"344,444,390.20","159,962,483.00","23,157,358.46",35.3602,"87,846,559.94",255.6604,66.6667,255.3138,185.6061,199.2248,34.17,"-187,725.97","730,558,049.89","455,330,571.76",3.4536,3.586,3.6661,0.1543,0.82,5.9701,0.756,18.806,230.7297,0.0058,0.6,83.2465,80.3647,89.0102,92.137,9.6923,728.1491,90.4208,17.7778,0.7083,3.74,0.7143,0.4444,0.1667,0.3296,0.0089,150.7576,0.872,0.1884,0.1986,140.3673,27.6618,0.2765,0.5678
2024/12/12,3.5,3.84,2.3742,"186,729,696.88","112,352,306.80","11,102,772.65",28.1978,"41,578,359.30",203.4483,58.3333,203.7174,175,182.0313,33.99,"1,280,393.55","718,275,886.60","328,696,456.03",3.3359,3.456,3.5092,0.1127,0.65,4.5125,0.6217,17.581,198.8717,0.0045,0.5473,85.879,78.9238,99.7893,90.3629,7.5385,252.3661,82.0814,0,0.5878,3.4575,0.8571,0.3333,0.1667,0.2677,0.0066,150.5882,0.8555,0.1901,0.1729,116.0856,27.3722,0.2187,0.5211
2024/12/11,3.32,3.49,1.4311,"105,434,115.47","83,169,500.80","4,963,101.67",24.4381,"20,551,794.86",172.8045,58.3333,173.915,152.7559,157.8125,33.59,"655,536.86","698,473,565.54","136,708,463.38",3.2375,3.32,3.3438,0.0622,0.26,3.3586,0.5214,9.2332,129.6978,0.0032,0.2764,78.8185,75.4462,85.5629,81.8139,5.9231,291.6105,65.8434,8.4507,0.3608,3.38,0.7143,0.3,0.1818,0.2148,0.0045,142.449,0.8381,0.1347,0.1536,70.5371,27.1882,0.1621,0.3951
2024/12/10,3.38,3.34,1.3809,"97,155,130.24","74,133,630.00","3,920,850.41",20.1928,"19,986,997.52",179.878,58.3333,162.3371,139.0625,146.0938,33.4,"-1,111,145.32","693,708,902.89","126,751,744.34",3.1976,3.26,3.2706,0.0448,0.11,2.435,0.4663,6.1722,128.0899,0.0024,0.1718,73.7832,73.7601,73.8295,73.3803,2.9091,214.0504,62.4221,25.3731,0.4872,3.3,0.7143,0.2222,0.2727,0.1807,0.0024,137.4486,0.8199,0.1108,0.14,52.9369,27.0228,0.1403,0.3311
2024/12/9,3.35,3.28,0.8861,"64,575,138.41","68,852,903.40","2,935,503.30",15.9141,"17,934,948.75",160.7558,50,153.0954,141.129,131.2977,33.34,"-708,874.67","691,969,668.72","163,376,543.11",3.1647,3.238,3.236,0.0412,0.17,1.6227,0.4256,5.6361,112.4274,0.0018,0.1518,75.8534,73.7486,80.0632,68.5131,3.0455,192.628,50.9925,24.1379,0.5,3.3025,0.7143,0.2222,0.2727,0.1526,-0.0002,138.3966,0.8008,0.0884,0.1286,73.8873,26.9014,0.1305,0.331
2024/12/6,3.16,3.33,1.4475,"97,625,703.90","72,567,214.60","4,149,704.18",12.1989,"21,514,839.07",155.7803,50,160.6679,147.8992,131.7829,33.45,"472,985.14","692,935,156.73","223,993,324.51",3.1402,3.228,3.214,0.0417,0.31,1.2043,0.3863,8.234,127.7454,0.0012,0.2409,76.5074,72.6961,84.13,78.4777,1.75,236.4516,71.2558,15.5172,0.4393,3.1625,0.5714,0.25,0.3333,0.1356,-0.0027,141.1017,0.7808,0.1291,0.1236,65.1166,26.7474,0.1258,0.3357
2024/12/5,3.17,3.16,0.7694,"51,435,475.63","68,278,524.20","2,132,923.81",7.1078,"18,847,919.00",139.4737,50,146.8214,131.3559,116.4063,33.25,"-176,725.38","687,618,282.35","205,545,540.37",3.1074,3.184,3.1559,0.0265,0.19,0.7471,0.3443,3.7483,84.5904,0.0003,0.1064,72.943,70.7905,77.2479,63.3924,0.5714,115.6971,47.4029,34.6939,0.5043,3.215,0.4286,0.2222,0.3636,0.1142,-0.0046,133.8983,0.7599,0.0981,0.1079,44.5878,26.4714,0.1138,0.2889
2024/12/4,3.22,3.19,0.9677,"61,778,576.80","66,993,838.40","3,475,557.44",4.6505,"21,429,273.99",153.4161,58.3333,170.3909,136.5217,126.2295,33.29,"-690,128.91","688,103,016.52","212,908,883.23",3.0977,3.156,3.1539,0.0324,0.2,0.4871,0.3154,5.3965,144.2568,0.0002,0.1545,77.1228,69.7143,91.9399,70.6776,1.5455,99.6551,54.93,28.5714,0.5304,3.2325,0.5714,0.2222,0.2727,0.1037,-0.0063,139.3013,0.7382,0.0784,0.1093,48.8988,26.2575,0.1141,0.2617
2024/12/3,3.23,3.23,1.1366,"68,631,135.91","62,946,864.20","4,304,600.06",0.9684,"22,134,178.82",152.5316,58.3333,178.7746,125.4237,116,33.43,"-96,024.88","688,857,367.00","236,773,455.68",3.0739,3.112,3.1358,0.031,0.33,0.1622,0.2787,7.5472,206.7816,-0.0001,0.2182,79.9699,66.01,107.8897,81.0235,1.5909,136.632,61.6909,15.2174,0.6083,3.195,0.4286,0.3333,0.2727,0.0877,-0.0079,140.4348,0.7156,0.0836,0.1036,30.188,25.9018,0.1129,0.3133
2024/12/2,3.1,3.23,1.6823,"81,877,490.40","60,419,478.00","4,421,428.60",-6.3086,"22,004,412.42",169.697,58.3333,202.2926,132.1739,130.2521,33.43,"1,092,282.99","688,857,367.00","245,421,046.35",3.0322,3.064,3.0888,0.0161,0.38,-0.3446,0.2416,8.5106,226.8662,-0.0006,0.2473,77.5636,59.03,114.6306,81.0235,0.8462,158.8897,75.9416,2.5,0.5804,3.0925,0.5714,0.3333,0.2727,0.0666,-0.0091,139.2241,0.692,0.0929,0.1007,21.0414,25.5706,0.1032,0.3467
2024/11/29,3.03,3.11,1.9424,"76,936,726.69","49,263,166.80","2,752,343.21",-12.9719,"17,317,343.86",158.7248,50,188.1811,127.4336,125.641,33.28,"667,711.75","685,659,692.74","150,956,658.05",2.985,2.998,3.0181,-0.011,0.17,-0.4969,0.2177,5.275,148.4309,-0.0009,0.1564,67.5953,49.7633,103.2594,72.6972,0.3103,130.2353,74.0087,10,0.5102,3.0075,0.4286,0.3333,0.2727,0.0481,-0.0096,134.0517,0.6675,0.0643,0.0957,4.2915,25.1628,0.1,0.3309
2024/11/28,2.95,3.02,1.2814,"45,026,944.37","39,840,554.80","393,751.54",-18.7488,"10,630,005.54",142.7184,41.6667,165.8604,123.2143,115.9664,33.18,"684,609.62","683,353,432.01","151,668,590.02",2.9646,2.946,2.9722,-0.0305,0.06,-0.1739,0.2201,2.4308,41.9768,-0.0008,0.08,56.393,40.8473,87.4844,62.3808,-0.1765,6.5904,57.1201,41.9355,0.5052,2.945,0.4286,0.3333,0.3,0.0461,-0.0093,128.5106,0.6421,0.0364,0.0943,-3.5775,24.7295,0.1079,0.3481
2024/11/27,2.97,2.97,1.2345,"39,965,860.61","35,211,320.60","-130,678.60",-16.8906,"9,799,682.34",135.9873,33.3333,159.8733,116.6667,113.4454,33.11,"1,227,785.33","682,593,836.54","146,305,669.24",2.9504,2.93,2.9483,-0.0428,0.04,0.3713,0.2424,0.5927,-43.0034,-0.0008,0.0282,43.6804,33.0744,64.8924,54.4047,-0.4737,-19.1473,53.6671,69.0476,0.5596,2.9825,0.5714,0.3333,0.2727,0.0548,-0.0084,126.9231,0.6159,0.0034,0.0979,-2.1852,24.348,0.117,0.3939
2024/11/26,2.9,2.99,2.1129,"55,968,701.00","32,950,455.20","-516,773.23",-12.2216,"9,356,018.65",161.7021,33.3333,185.5914,134.2857,130.2752,33.13,"217,385.86","682,865,936.40","153,057,203.58",2.9388,2.928,2.9374,-0.0505,0.08,1.0859,0.2781,0.8999,-12.2332,-0.0006,0.0391,35.9751,27.7714,52.3826,58.5421,-0.4286,-17.1259,69.8856,64.2857,0.5556,2.89,0.7143,0.4,0.3,0.0716,-0.007,127.7778,0.5891,-0.0164,0.1014,-4.7109,23.9892,0.126,0.4
2024/11/25,2.87,2.9,0.9958,"26,940,915.17","26,522,181.00","-2,666,311.09",-5.6762,"5,587,155.22",143.75,33.3333,176.5965,116.6667,115.3153,33.03,"817,499.64","681,126,839.37","127,051,389.06",2.9321,2.916,2.9111,-0.0647,-0.01,2.0232,0.3233,-2.6301,-91.9853,-0.0005,-0.0609,19.8718,23.6696,12.2763,42.0022,-0.8611,-64.1231,42.6795,85.7143,0.4674,2.8775,0.7143,0.3636,0.3333,0.0945,-0.0051,122.8814,0.5621,-0.0554,0.0957,-21.9343,23.6703,0.1368,0.4504
2024/11/22,2.94,2.85,1.1232,"31,030,922.81","27,205,782.40","-2,940,417.10",5.4056,"8,371,342.81",147.0588,33.3333,176.2699,120.3704,115.0442,32.98,"-1,035,303.34","680,651,549.86","129,478,970.72",2.9408,2.918,2.9167,-0.066,-0.11,3.0769,0.3854,-5,-105.5352,-0.0005,-0.1355,17.3077,25.5684,0.7862,28.8632,-0.878,-34.8775,46.532,97.619,0.5204,2.94,0.8571,0.3,0.3,0.1267,-0.0027,121.7949,0.535,-0.0806,0.0986,-19.914,23.5622,0.148,0.4646
2024/11/21,2.96,2.94,0.7587,"21,943,649.32","26,955,151.20","-3,480,481.02",9.7198,"13,872,990.32",155.1095,41.6667,182.5393,124.0385,118.3486,33.1,0,"681,578,329.45","155,420,739.65",2.954,2.93,2.95,-0.0549,-0.1,3.9301,0.452,-2.5145,-62.607,0,-0.0736,24.2949,29.6988,13.487,43.7199,-0.5294,-53.6842,33.4845,80,0.6224,2.9475,0.7143,0.3333,0.2727,0.1555,-0.0006,124.5763,0.508,-0.0726,0.0971,-23.634,23.6554,0.1611,0.4758
2024/11/20,2.92,2.96,0.9854,"29,210,288.51","28,962,582.20","-3,241,081.78",14.6096,"17,647,566.66",148.0565,50,201.1409,134,121.2963,33.13,"877,689.41","681,726,801.08","175,726,161.65",2.9539,2.934,2.9551,-0.0536,-0.11,4.5102,0.5106,-2.0408,-53.8625,0.0002,-0.0627,22.6492,32.4008,3.146,48.3264,-0.1765,-39.1362,40.8997,71.4286,0.63,2.9125,0.8571,0.4,0.2,0.176,0.001,124.8945,0.4812,-0.0633,0.1,-6.9075,23.951,0.1691,0.4758
2024/11/19,2.92,2.93,0.7134,"23,687,451.54","29,810,163.40","-3,389,492.33",18.507,"17,173,134.35",139.5904,50,180.2872,127.1845,115.3153,33.07,"1,225,827.71","681,426,037.22","147,446,991.09",2.9503,2.95,2.9526,-0.0542,-0.17,4.9429,0.5713,-3.0336,-79.7494,0.0003,-0.0973,21.4738,37.2766,-10.1318,40.4885,-0.1765,-40.8895,31.5489,78.5714,0.61,2.9225,0.7143,0.4,0.2,0.192,0.0026,120.5761,0.4547,-0.0362,0.1,-3.6274,24.2599,0.1761,0.4646
2024/11/18,2.92,2.91,0.8145,"30,724,860.48","33,496,968.40","-2,844,671.66",20.9602,"15,802,284.07",138.9831,41.6667,180.3763,130.3922,116.2162,33,"-873,884.35","681,261,802.17","154,296,015.09",2.9559,2.978,2.9639,-0.0476,-0.26,5.1565,0.6362,-3.5892,-58.6803,0.0012,-0.12,23.4607,45.178,-19.9739,35.0121,0.1333,-4.6438,37.5208,83.3333,0.625,2.9325,0.7143,0.4,0.2,0.2058,0.0039,121.7573,0.4282,-0.0332,0.0993,2.7493,24.6223,0.1796,0.4504
2024/11/15,2.95,2.91,0.6424,"29,460,146.39","37,457,541.80","-2,482,880.47",21.7749,"14,904,542.98",135.082,50,171.5555,121.2963,106.7797,33,"-1,223,438.09","681,261,802.17","144,499,802.09",2.9744,3.016,2.9909,-0.0324,-0.25,5.449,0.6982,-3.5626,-42.0796,0.0018,-0.1182,33.8022,56.0366,-10.6668,35.0121,0.3704,11.8679,35.2219,79.5455,0.6346,2.98,0.7143,0.5,0.2,0.2236,0.0049,122.2689,0.4018,-0.0169,0.1029,13.6282,25.1041,0.1836,0.3711
2024/11/14,3.03,2.96,0.5941,"32,435,409.12","45,176,752.20","-1,628,860.83",21.3479,"13,745,033.79",136.4821,58.3333,196.8181,126.1682,116.6667,33.09,"-981,072.20","681,752,032.64","163,446,335.54",2.9949,3.068,3.0313,-0.009,-0.08,5.5869,0.7479,-1.7971,-1.6381,0.0025,-0.0673,50.7032,67.1539,17.8019,41.6692,0.7727,-21.3394,37.5342,63.8298,0.6792,3.0375,0.5714,0.5556,0.1818,0.2403,0.0057,125.4237,0.375,0.0236,0.1086,19.7915,25.7051,0.1851,0.3598
2024/11/13,3.06,3.04,0.5954,"33,516,941.78","53,877,027.60","-525,826.77",21.3228,"13,747,108.53",106.4516,58.3333,187.7098,108.1301,98.5075,33.18,"136,615.71","682,594,426.20","173,072,350.22",3.0043,3.108,3.067,0.0153,0.03,5.6567,0.7755,1.1928,41.9527,0.0032,0.0209,63.5549,75.3792,39.9061,55.8207,1.2778,-45.3611,38.6676,39.2857,0.7075,3.0825,0.5714,0.5556,0.1818,0.2513,0.0059,128.8136,0.3476,0.0461,0.1057,15.7405,26.3869,0.187,0.3352
2024/11/12,3.1,3.07,0.7365,"42,726,284.04","56,452,320.40","1,017,620.51",21.2843,"14,834,736.81",145.4545,66.6667,237.1761,89.7959,122.3077,33.22,"-684,945.89","682,922,887.20","190,147,658.66",3.0082,3.108,3.0805,0.0328,0.11,5.4963,0.7787,2.5042,80.6841,0.0039,0.0691,71.5228,81.2914,51.9855,62.4483,1.5625,42.3803,44.8043,32.7586,0.7818,3.1025,0.7143,0.5556,0.0909,0.2641,0.0058,131.7597,0.3194,0.0651,0.1036,10.928,27.1757,0.1836,0.3242
2024/11/11,3.14,3.1,0.8817,"50,216,736.13","57,474,952.20","2,408,171.94",17.2829,"14,908,513.36",177.2152,75,305.2135,97.2973,143.2,33.29,"-137,459.51","683,332,534.54","159,111,355.66",3.0004,3.096,3.0857,0.0482,0.21,4.972,0.7631,4.4064,105.3852,0.0043,0.1118,79.9032,86.1757,67.3581,69.3055,1.9333,148.3997,50.9775,27.5862,0.8,3.18,0.5714,0.5556,0.0909,0.2599,0.0053,131.9149,0.2905,0.0839,0.1014,21.6514,27.9527,0.177,0.328
2024/11/8,3.22,3.17,1.3097,"67,605,854.57","57,065,053.40","3,517,078.68",14.8059,"15,553,062.63",239.8438,75,394.5958,105.6738,166.6667,33.36,"-354,904.82","684,443,533.37","138,088,290.01",2.9769,3.068,3.0785,0.0592,0.27,4.5228,0.7299,7.9455,176.0033,0.0043,0.2127,88.9024,89.3119,88.0832,88.1201,14.25,207.8176,67.8725,14.2857,0.6545,3.1275,0.7143,0.5556,0,0.2481,0.0039,133.1933,0.2609,0.0757,0.1,44.5067,28.4445,0.171,0.3913
2024/11/7,3.02,3.16,1.7592,"74,934,097.78","51,626,782.20","3,143,378.06",10.4098,"15,008,086.88",227.3764,75,375.8103,117.4242,171.1712,33.31,"944,721.54","684,229,553.32","200,368,702.61",2.9393,3.012,3.0328,0.0542,0.29,4.0828,0.6829,9.0282,158.209,0.0036,0.2445,93.5808,89.5167,101.7091,87.7234,12,215.16,77.6568,3.4483,0.7054,3.0225,0.5714,0.5556,0,0.2289,0.0023,131.6667,0.2307,0.1266,0.0936,30.0822,28.5566,0.1608,0.3862
2024/11/6,3.01,3.04,1.1977,"46,040,075.99","42,923,376.20","1,406,467.85",4.6647,"12,388,333.03",225.8824,75,353.0783,109.8485,169.4444,33.16,"954,997.45","681,248,803.38","152,583,276.25",2.8955,2.96,2.9692,0.0406,0.2,3.752,0.6392,6.2937,116.7359,0.0029,0.1655,92.9354,87.4847,103.8368,81.5672,8.75,86.6168,59.984,2.0408,0.7054,2.99,0.5714,0.5556,0,0.2079,0.0008,125.1029,0.2001,0.1086,0.0886,6.6007,28.5768,0.1538,0.3764
2024/11/5,2.95,3.01,1.2664,"46,985,359.47","38,814,136.00","1,410,241.17",2.5881,"13,202,151.16",235.5102,75,340.1764,115.748,179.6117,33.08,"978,563.97","680,785,458.13","164,402,579.19",2.8615,2.926,2.9337,0.037,0.08,3.4755,0.6089,6.4545,113.5802,0.0023,0.1664,90.8316,84.7593,102.9762,79.4169,9,82.7441,61.313,2.1739,0.7246,2.9375,0.7143,0.4444,0,0.1913,-0.0011,124.8963,0.1697,0.0997,0.0879,0.3802,28.5268,0.1547,0.3714
2024/11/4,2.87,2.96,1.2031,"47,598,894.93","37,464,467.80","1,143,712.72",1.5121,"13,191,800.35",225.6098,75,322.118,113.6,178.2178,32.99,"996,922.33","679,984,049.62","140,229,234.51",2.8352,2.892,2.8956,0.0315,0.2,3.2626,0.5815,5.8718,103.0772,0.0017,0.1491,87.718,81.7232,99.7077,75.4372,9.25,162.4424,62.3006,2.439,0.7286,2.89,0.7143,0.4,0,0.1741,-0.0025,121.3115,0.1398,0.0878,0.0857,-1.9104,28.4308,0.1591,0.339
2024/11/1,2.89,2.89,1.0645,"40,624,769.20","40,115,404.60","487,086.32",-1.6883,"12,530,172.70",225,66.6667,293.2143,104.7244,171.2871,32.89,0,"678,815,052.48","121,427,045.96",2.8059,2.886,2.8634,0.0277,0.18,2.9893,0.5592,4.5523,99.9547,0.0009,0.1091,83.3012,78.7257,92.4521,68.2826,9.5,125.093,56.7486,13.1579,0.7483,2.8925,0.5714,0.4,0,0.1554,-0.0035,120.9205,0.1105,0.083,0.0829,-15.0098,28.3346,0.164,0.3801
2024/10/31,2.87,2.9,0.898,"31,895,258.97","37,976,214.60","148,495.42",-5.4103,"12,300,107.42",245.5357,75,376.5807,111.4754,186.3158,32.94,"521,861.56","678,954,453.65","128,978,382.63",2.7834,2.86,2.8501,0.031,0.19,2.9661,0.5406,5.7429,122.807,0.0007,0.1473,83.0163,76.438,96.1728,70.7354,9.25,61.4571,50.1692,10.5263,0.75,2.87,0.7143,0.4,0,0.1459,-0.0041,119.8347,0.0821,0.0931,0.0814,-18.212,28.2813,0.1699,0.3779
