日期,开盘价(元),收盘价(元),量比,TAPI加权指数成交值,VMA量简单移动平均,VMACD量指数平滑异同平均,VOSC成交量震荡,VSTD成交量标准差,CR能量指标,PSY心理指标,VR成交量比率,AR,BR,WAD威廉聚散指标,MOBV能量潮,PVT量价趋势指标,WVAD威廉变异离散量,BBI多空指数,MA简单移动平均,EXPMA指数平均数,MACD指数平滑异同平均,MTM动力指标,PRICEOSC价格振荡指标,TRIX三重指数平滑平均,BIAS乖离率,CCI顺势指标,DBCD异同离差乖离率,DPO区间震荡线,K,D,J,RSI相对强弱指标,SRDM动向速度比率,VROC量变动速率,VRSI量相对强弱,WR威廉指标,ADTM动态买卖气指标,CDP逆势操作,DPTB-上证指数,JDQS阶段强势指标--上证180,JDRS阶段弱势指标--上证指数,MI动量指标,MICD异同离差动力指数,RC变化率指数,RCCD异同离差变化率指数,SRMI（MI修正指标）,ATR真实波幅,CVLT佳庆离散指标,MASS梅斯线,STD标准差,VHF纵横指标
2024/12/19,28.65,28.89,0.5559,"4,566,340.33","6,468,856.60","-141,315.99",-2.3628,"2,866,728.16",81.9088,50,101.4238,104.9759,107.6923,79.97,"433,580.22","226,106,744.50","3,293,856.77",28.8452,28.826,28.8596,-0.0339,-0.13,0.2846,0.0237,0.0577,-65.5251,0.0004,0.0018,32.8203,41.2904,15.8801,51.0228,0.5102,-24.2603,40.4869,63.5593,0.2821,28.82,1,0.2222,0.1818,0.091,0.0105,98.4998,-0.0292,0.001,0.4321,5.447,23.996,0.3179,0.2624
2024/12/18,28.75,28.8,0.4419,"3,889,293.85","8,248,822.60","-10,628.85",-4.4255,"2,890,114.70",86.2661,41.6667,109.0724,106.9952,114.7967,79.6,"-192,498.51","226,092,413.89","-3,588,988.02",28.8402,28.962,28.8444,-0.0386,0.01,0.1807,0.0258,-0.2713,-45.045,0.0005,-0.0718,32.7125,45.5254,7.0868,47.1234,0.5579,-50.7613,37.3473,71.1864,0.2317,28.745,1,0.2222,0.2727,0.1048,0.0105,99.7921,-0.0397,0.0063,0.4471,-0.3835,24.0168,0.3743,0.2585
2024/12/17,28.8,28.67,0.6501,"6,192,168.89","8,789,099.20","279,937.84",-7.771,"2,754,379.38",97.9827,33.3333,125.8687,117.7496,123.3871,79.47,"-282,217.34","226,074,803.36","-14,873,938.93",28.866,29.006,28.8666,-0.0268,-0.11,0.1222,0.0283,-0.7758,-66.8954,0.0005,-0.2155,39.0688,51.9318,13.3427,41.5188,0.1186,-26.972,43.5808,82.2034,0.1612,28.865,1,0.2222,0.2727,0.1316,0.0112,91.539,-0.0496,-0.0014,0.4507,4.655,24.0471,0.4076,0.2548
2024/12/16,29.02,28.75,0.8468,"7,781,194.47","9,487,227.20","497,219.57",-7.8427,"2,760,960.27",89.4593,41.6667,118.8567,109.0226,110.3604,79.85,"-369,150.03","226,091,965.83","-10,308,195.39",28.9645,29.03,28.9649,0.0186,-0.11,0.1257,0.0296,-0.5964,4.456,0.0004,-0.1645,49.7049,58.3634,32.3878,43.9053,0.2222,39.1749,48.1634,57.4194,0.25,29.1425,1,0.2222,0.25,0.1744,0.0103,93.7704,-0.0591,-0.0069,0.4721,1.4509,24.0245,0.4181,0.2308
2024/12/13,29.5,29.02,1.178,"10,067,165.47","9,128,605.00","653,889.07",-13.8127,"2,762,551.36",101.9788,50,111.4531,104.8458,108.6053,80.35,"-417,098.62","226,163,886.95","34,980.11",29.0001,29.036,29.0724,0.0708,0.4,0.0051,0.0261,0.3487,109.8445,0.0003,0.0818,62.2692,62.6926,61.4222,52.3719,1,14.685,55.1067,36.2573,0.3878,29.415,0.8571,0.2222,0.25,0.1867,0.0065,102.2551,-0.0683,0.001,0.4721,-10.2411,23.9548,0.4379,0.2311
2024/12/12,29.02,29.57,2.0285,"13,378,775.92","8,468,910.00","632,903.36",-18.2835,"2,654,394.50",116.8747,58.3333,139.4789,124.8447,126.1275,80.9,"354,966.91","226,349,453.60","7,173,945.94",28.9609,29.004,29.0985,0.0908,0.86,-0.1968,0.017,2.3508,165.4258,0.0003,0.66,69.6749,62.9044,83.2161,77.8588,1.2179,161.4652,67.8352,4.023,0.3114,28.97,0.8571,0.2222,0.25,0.1727,-0.0005,108.1961,-0.0774,0.0189,0.4579,-9.8203,23.9268,0.4707,0.2361
2024/12/11,28.85,29.02,1.0397,"6,575,924.95","6,648,211.20","204,080.72",-29.9051,"1,622,544.18",115.6724,58.3333,138.2254,118.0982,120.711,80.21,"216,886.08","226,093,868.00","-10,069,060.31",28.8303,28.814,28.8628,0.0012,0.07,-0.5253,0.0053,0.8514,72.4977,0.0001,0.1909,57.4785,59.5191,53.3974,62.7539,1.1923,-16.3871,48.2442,23.8095,0.0315,28.92,0.8571,0.2,0.2727,0.0621,-0.0085,111.1452,-0.0864,0.0107,0.4721,-27.1674,24.031,0.4535,0.2458
2024/12/10,29.28,28.79,1.7208,"9,734,691.87","6,333,478.00","222,598.68",-31.2805,"1,750,273.51",123.8366,58.3333,144.6289,120.6422,119.5455,79.91,"-351,904.84","226,041,259.73","744,377.77",28.8039,28.752,28.7842,-0.0316,-0.2,-0.746,0.0022,0.3078,76.3905,-0.0001,0.0373,55.4485,60.5394,45.2668,51.1373,2.9434,23.3846,62.3353,39.4558,0.2762,28.8325,0.7143,0.1111,0.2727,-0.0123,-0.0172,111.8493,-0.0953,0.0038,0.4693,-21.3189,24.0703,0.4544,0.2475
2024/12/9,28.83,28.78,0.989,"5,952,684.16","5,612,734.40","-61,478.66",-33.0269,"1,503,712.09",122.129,50,142.3049,131.8555,114.5234,79.85,"-171,228.38","226,037,903.79","13,551,103.35",28.7851,28.784,28.7813,-0.0362,-0.23,-0.9022,0.0022,0.4859,46.4487,-0.0004,0.0864,65.0409,63.0848,68.9532,50.5788,2.9245,45.6495,46.5955,32.3077,0.3448,28.8175,0.7143,0.2222,0.2727,-0.0798,-0.0251,115.5359,-0.1041,0.0208,0.4586,-29.3808,24.1348,0.4668,0.2561
2024/12/6,28.61,28.86,1.0506,"6,668,446.36","6,002,858.00","-111,956.48",-38.579,"1,563,915.17",121.8069,50,163.0212,138.526,117.9878,80.22,"222,927.45","226,054,361.39","23,229,813.38",28.7917,28.826,28.7819,-0.0402,0.15,-0.7669,0.0025,0.7213,37.7882,-0.0006,0.2318,66.4803,62.1067,75.2275,54.7506,0.4496,-6.0112,50.0683,26.1538,0.3652,28.6,0.7143,0.25,0.3333,-0.0734,-0.0316,115.2556,-0.1129,0.0249,0.4593,-38.8856,24.1455,0.4921,0.2582
2024/12/5,28.68,28.62,0.6649,"4,376,838.85","6,356,354.80","-240,103.12",-39.8294,"1,613,830.13",108.4425,50,139.6173,127.3016,106.1516,79.97,"144,024.56","225,998,359.18","23,144,074.56",28.7915,28.856,28.7429,-0.0615,-0.06,-0.5881,0.003,-0.1686,-24.9235,-0.0008,-0.0145,63.1063,59.9199,69.479,42.9963,-0.1726,-29.1541,38.1722,51.3514,0.4176,28.7325,0.7143,0.2222,0.3636,-0.0637,-0.0342,114.1148,-0.1216,0.0196,0.4971,-28.9596,24.1805,0.5265,0.2568
2024/12/4,28.8,28.71,0.6839,"5,022,415.57","6,590,788.40","-172,602.23",-37.7911,"1,664,524.20",108.6207,58.3333,152.7997,133.8164,110.0719,80.06,"-134,227.83","226,012,096.27","28,510,657.34",28.8219,28.874,28.8044,-0.0436,0.53,-0.502,0.0056,0.1104,8.3381,-0.0006,0.0373,66.9671,58.3268,84.2478,46.795,0.0113,-52.1342,40.3691,45.2703,0.4864,28.9475,0.8571,0.2222,0.2727,-0.0586,-0.0352,116.2819,-0.1304,-0.0076,0.5136,-28.3974,24.1815,0.5379,0.259
2024/12/3,28.92,28.95,0.8469,"6,054,998.89","7,328,336.00","-97,343.86",-30.9474,"1,562,833.19",122.3829,58.3333,147.1204,132.7074,113.7733,80.3,"11,703.06","226,053,642.52","24,905,082.49",28.8141,28.868,28.8516,-0.032,0.81,-0.4714,0.0062,0.9825,46.0396,-0.0005,0.2745,69.2968,54.0066,99.8773,58.2267,0.2857,-9.6302,43.8553,46.1538,0.5034,28.985,0.7143,0.3333,0.2727,-0.0748,-0.0358,117.6351,-0.1392,-0.0031,0.5371,-26.3228,24.1026,0.5504,0.2582
2024/12/2,29.02,28.99,1.1037,"7,887,194.52","7,148,942.20","-58,761.37",-32.8814,"1,555,799.18",110.1502,58.3333,139.3903,132.4773,101.6971,80.48,"36,134.88","226,061,996.69","25,850,013.38",28.7517,28.714,28.8023,-0.0622,0.93,-0.4285,0.0055,1.1397,34.1022,-0.0005,0.3473,63.5606,46.3615,97.9589,60.2717,0.0476,-23.8695,50.2036,50,0.4746,28.96,0.7143,0.3333,0.2727,-0.0871,-0.0343,117.8935,-0.1482,0.0086,0.555,-25.408,23.9671,0.5527,0.2541
2024/11/29,28.62,29.01,1.2026,"8,439,972.87","7,146,563.20","-162,695.16",-28.899,"1,914,332.46",97.9949,58.3333,140.0845,131.934,96.01,80.59,"149,795.62","226,067,434.60","22,914,971.47",28.683,28.544,28.7085,-0.1159,0.08,-0.3114,0.0078,1.1536,12.7767,-0.0004,0.3764,53.4178,37.7619,84.7297,61.1668,-0.2301,-27.6104,52.1177,52.3605,0.4127,28.7275,0.7143,0.3333,0.1818,-0.0777,-0.0294,115.3021,-0.1572,0.0145,0.6021,-11.3781,23.7503,0.5533,0.2493
2024/11/28,28.83,28.71,0.8256,"5,564,807.87","7,022,990.20","-355,713.92",-24.3089,"1,860,858.32",93.1179,58.3333,122.0066,121.6763,89.6594,80.2,"-97,901.26","225,979,182.28","23,689,995.93",28.6217,28.354,28.5578,-0.1987,-0.33,-0.0522,0.0156,-0.1218,-27.0932,-0.0002,0.0609,37.4344,29.9339,52.4354,52.3145,-0.4745,-71.42,42.6821,65.2361,0.4626,28.575,0.7143,0.3333,0.2,-0.013,-0.0214,113.3439,-0.1664,-0.0062,0.605,-16.5018,23.4215,0.5511,0.2554
2024/11/27,28.17,28.68,1.3574,"8,656,546.13","6,727,385.60","-324,090.32",-9.9228,"2,065,435.43",89.1198,58.3333,126.0353,126.5007,90.3148,80.08,"239,293.50","225,973,372.35","26,761,955.42",28.6056,28.398,28.4816,-0.2565,-0.06,0.1877,0.0321,-0.4973,-62.5887,-0.0001,-0.0682,28.7868,26.1837,33.993,51.3911,-0.6887,-25.1978,51.9634,66.5236,0.3234,28.19,0.7143,0.3333,0.2727,0.0713,-0.0117,111.4219,-0.1756,-0.0171,0.625,-8.2374,23.0663,0.5522,0.2458
2024/11/26,28.06,28.18,0.7798,"5,168,478.99","6,408,611.00","-552,613.78",-7.9809,"2,444,069.17",89.187,50,128.2062,123.7189,88.2424,79.49,"-32,010.17","225,819,020.79","18,704,427.20",28.5722,28.47,28.3825,-0.325,-0.41,0.3746,0.0552,-2.4295,-122.2455,0,-0.6564,16.8288,24.8821,0.7222,33.508,-0.8233,-63.788,39.6479,87.9828,0.1799,28.11,0.7143,0.4,0.3,0.1414,-0.0023,107.189,-0.1846,-0.0544,0.645,-14.4634,22.7066,0.5519,0.2407
2024/11/25,28.09,28.14,1.1041,"7,865,268.87","6,614,156.00","-497,449.06",-2.8312,"4,260,825.91",94.697,41.6667,135.5223,125.1095,91.5648,79.24,"143,873.86","225,811,689.28","20,751,284.17",28.6887,28.582,28.4837,-0.3102,-0.75,0.7076,0.0863,-2.9572,-158.9765,0.0002,-0.8055,18.0637,28.9087,-3.6263,31.8361,-0.6814,-48.8173,47.4241,89.6996,0.2402,28.3,0.7143,0.3636,0.3333,0.2806,0.0054,106.4297,-0.1935,-0.0509,0.6421,-6.4017,22.4105,0.5391,0.2608
2024/11/22,28.91,28.06,1.1333,"7,953,585.17","7,132,983.80","-633,639.86",1.4476,"4,299,297.26",109.7938,41.6667,140.1436,139.4118,102.5735,79,"-430,834.01","225,789,235.11","21,997,187.34",28.8364,28.672,28.6556,-0.2586,-1.12,1.1513,0.1172,-3.6925,-127.5411,0.0004,-1.0155,21.591,34.3313,-3.8895,28.8548,-0.6481,-36.3588,47.2722,100,0.3198,28.925,0.8571,0.3,0.3,0.4571,0.0121,107.0175,-0.2021,-0.0449,0.66,1.2895,22.212,0.5304,0.2589
2024/11/21,28.98,28.93,0.4993,"4,067,629.93","6,907,387.20","-783,918.37",5.2182,"4,488,942.75",119.8157,50,141.46,149.2163,111.6645,79.96,"23,978.71","226,024,639.79","34,989,091.35",28.9658,28.838,28.9533,-0.1455,-0.87,1.4679,0.144,-0.9755,-30.5022,0.0005,-0.3036,32.3865,40.7014,15.7568,47.8026,-0.242,-67.7553,35.0215,59.3607,0.5292,28.9325,0.8571,0.3333,0.2727,0.585,0.0154,109.7913,-0.2105,-0.0216,0.615,-11.1597,22.1474,0.5555,0.2681
2024/11/20,28.62,29.04,0.7828,"7,079,680.41","8,164,283.00","-569,306.02",9.9121,"4,193,412.47",108.7917,58.3333,137.0538,151.0938,110.8527,80.13,"379,123.48","226,040,080.23","42,596,572.65",28.964,28.888,28.965,-0.1382,-0.61,1.5385,0.1604,-0.5479,-21.6487,0.0004,-0.2009,33.9059,44.8588,12,51.3559,0.0183,-4.7578,41.5108,47.6,0.5537,28.7,0.8571,0.3,0.2,0.6218,0.0149,108.7233,-0.2187,-0.0255,0.6357,11.238,22.228,0.5749,0.2709
2024/11/19,28.68,28.74,0.5275,"6,163,239.74","9,076,622.80","-483,726.37",9.1625,"3,926,814.73",102.201,58.3333,120.1886,138.6765,101.467,79.67,"127,796.71","225,965,911.33","31,704,396.07",28.9486,29.04,28.9275,-0.1461,-0.64,1.4645,0.1769,-1.384,-37.7653,0.0001,-0.4745,33.1958,50.3353,-1.0833,41.4677,0.1187,-37.6149,38.633,59.6,0.5369,28.77,0.7143,0.3,0.2,0.6165,0.0131,99.8263,-0.2268,-0.0093,0.6321,13.8061,22.3528,0.5834,0.2602
2024/11/18,28.85,28.59,0.8755,"10,612,843.86","11,726,383.60","-211,155.60",9.2751,"3,388,015.56",97.6105,58.3333,125.8383,130.3621,94.7796,79.32,"-360,582.15","225,933,458.86","31,160,875.37",28.991,29.222,29.0212,-0.0946,-0.98,1.2838,0.1951,-1.7188,-13.8498,0.0002,-0.59,40.2828,58.905,3.0382,36.0514,0.6379,3.9098,47.7517,65.6,0.5957,29.01,0.7143,0.3,0.2,0.6144,0.0095,99.8603,-0.235,-0.0056,0.625,19.8774,22.5362,0.5834,0.2503
2024/11/15,29.17,28.89,0.4975,"6,759,246.07","11,958,331.00","-194,711.77",8.1377,"3,705,541.79",86.5949,58.3333,123.132,115.0193,84.9837,80.11,"-431,742.34","226,042,180.98","27,679,499.59",29.1142,29.38,29.2369,0.0164,-0.91,1.0781,0.2089,-0.4965,16.2581,0.0004,-0.2455,58.3774,68.2162,38.6997,42.6253,1.3066,6.0489,36.816,53.6,0.6072,29.3475,0.7143,0.4,0.2,0.6093,0.0044,100.662,-0.2433,0.0183,0.6093,3.1395,22.8195,0.5828,0.1992
2024/11/14,29.84,29.18,0.7159,"10,470,311.58","13,466,974.60","231,048.86",4.0662,"3,293,579.30",94.6961,66.6667,145.3905,134.6205,101.7978,80.59,"-432,412.33","226,108,766.68","31,587,774.00",29.2003,29.516,29.4103,0.1209,0.17,0.8348,0.2119,0.6901,60.5232,0.0006,0.1327,69.9332,73.1356,63.5284,49.9647,2.7416,19.7325,44.3228,40.0763,0.581,29.785,0.5714,0.4444,0.1818,0.6056,-0.0014,101.8499,-0.2523,0.037,0.6407,10.0857,23.2639,0.5942,0.3312
2024/11/13,29.65,29.8,0.7992,"11,635,457.75","14,472,350.80","516,938.21",-2.5751,"3,315,327.73",68.662,66.6667,127.7368,111.479,83.1948,81.26,"41,946.62","226,324,326.04","34,150,857.50",29.185,29.64,29.5255,0.2085,1.05,0.6029,0.2044,3.1142,113.0618,0.001,0.8382,78.8724,74.7368,87.1436,72.0749,2.9176,1.5568,47.1837,16.4122,0.4544,29.715,0.5714,0.4444,0.1818,0.5734,-0.0081,104.014,-0.262,0.0631,0.6293,2.6495,23.8201,0.588,0.2876
2024/11/12,29.35,29.65,1.4678,"19,592,052.68","14,598,940.40","796,332.98",-12.6658,"3,848,884.00",97.4571,58.3333,149.8198,76.807,103.0088,80.92,"-124,881.38","226,265,302.02","36,511,912.80",29.0901,29.482,29.3882,0.195,1.29,0.0258,0.1877,2.9812,132.7356,0.0012,0.8318,76.9086,72.669,85.3878,69.3395,2.233,163.5058,69.3694,22.1374,0.4497,29.32,0.5714,0.4444,0.1818,0.5073,-0.0152,101.9952,-0.2728,0.0476,0.6171,-2.6885,24.4495,0.7518,0.2685
2024/11/11,29.5,29.38,0.9374,"11,564,825.49","13,240,433.20","386,047.27",-28.2878,"2,912,671.54",123.7564,50,159.8778,86.078,118.9333,80.6,"166,582.56","226,086,702.78","4,212,492.72",29.0173,29.302,29.2573,0.1789,1.28,-0.4347,0.1719,2.3753,96.4568,0.0014,0.6664,76.9629,70.5492,89.7903,64.0584,2.1068,39.7039,49.478,25.9414,0.4532,29.6375,0.5714,0.3333,0.1818,0.4516,-0.0224,101.1012,-0.2844,0.0395,0.5843,-11.312,25.1221,0.8212,0.2757
2024/11/8,29.88,29.57,1.2341,"14,280,056.68","12,406,563.20","498,103.41",-31.496,"2,908,872.60",159.6851,50,183.6643,94.0887,135.7479,80.79,"-197,466.67","226,161,428.47","-20,490,673.67",28.941,29.098,29.1959,0.1851,1.65,-0.4728,0.1575,3.2142,169.4737,0.0014,0.9336,79.1007,67.3423,102.6176,71.2557,1.5806,41.9317,60.4285,17.9916,0.1704,29.54,0.5714,0.3333,0.0909,0.4391,-0.0299,101.0595,-0.2969,0.0362,0.5807,-5.7401,25.5272,0.8175,0.3556
2024/11/7,28.88,29.8,1.4685,"15,215,463.86","11,540,927.20","374,821.63",-36.5133,"2,827,921.78",161.1903,58.3333,221.1864,105.813,148.5577,81.22,"432,925.55","226,271,358.57","15,079,825.25",28.8024,28.804,29.0088,0.1335,1.56,-0.353,0.1422,4.2049,187.6543,0.001,1.2345,78.1224,61.4631,111.4411,80.3643,0.4571,38.4542,65.7382,0,0.4953,28.915,0.4286,0.3333,0.0909,0.4226,-0.0375,100.7097,-0.3098,0.0426,0.5871,-14.2361,25.7324,0.8489,0.3659
2024/11/6,28.79,29.01,1.3251,"12,242,621.89","10,478,597.80","37,753.80",-41.3603,"2,187,024.07",176.0828,58.3333,220.7429,104.3404,153.1034,80.18,"327,853.96","225,852,322.61","10,505,832.21",28.5816,28.428,28.6133,-0.0136,0.79,-0.1515,0.1321,1.7419,104.8125,0.0002,0.5218,67.1836,53.1334,95.2842,69.0343,0.0457,-7.484,57.3042,9.3168,0.5474,28.6075,0.4286,0.3333,0.0909,0.3692,-0.0437,97.1859,-0.323,0.0076,0.6,-31.921,25.8623,0.9587,0.4393
2024/11/5,28.31,28.75,1.49,"12,554,605.01","9,282,141.20","-179,938.17",-40.1006,"1,965,764.23",177.3176,58.3333,220.6184,109.7414,160.9829,79.74,"401,949.78","225,741,087.57","18,616,758.72",28.4482,28.274,28.4149,-0.0926,0.25,0.1904,0.1376,0.9303,42.3122,-0.0003,0.2818,52.8303,46.1083,66.2743,63.2127,-0.1486,-2.8741,58.6353,25.4658,0.5887,28.2825,0.5714,0.2222,0.0909,0.3719,-0.0518,96.1538,-0.3359,-0.0069,0.6057,-36.8338,25.9359,1.1008,0.4461
2024/11/4,28.14,28.36,0.803,"7,430,609.34","8,484,449.80","-537,991.00",-37.3645,"1,714,317.95",172.6965,58.3333,196.9863,107.2899,158.3417,79.15,"402,899.12","225,567,241.82","12,141,286.28",28.3328,28.168,28.2474,-0.1642,-0.17,0.5925,0.1522,-0.3222,-22.0459,-0.0008,-0.1009,41.2454,42.7473,38.2416,51.9119,-0.16,9.826,41.4487,49.6894,0.6135,28.0775,0.5714,0.2,0.1,0.3693,-0.0553,95.2957,-0.3481,-0.0149,0.6,-42.4926,26.0552,1.2964,0.4461
2024/11/1,27.82,28.1,1.129,"9,930,122.99","9,290,030.20","-528,343.47",-37.6711,"2,061,179.58",169.8554,50,180.9903,102.5042,152.4319,78.83,"59,281.83","225,498,213.88","18,291,989.21",28.2886,28.196,28.191,-0.192,-0.69,0.8468,0.1755,-1.0418,-69.9244,-0.0014,-0.36,36.8681,43.4982,23.6079,42.0162,0.04,30.1384,49.5814,65.8385,0.6336,27.9625,0.5714,0.2,0.1,0.342,-0.0536,95.0609,-0.3592,-0.0199,0.6229,-41.1988,26.1989,1.4437,0.4672
2024/10/31,28.13,27.92,1.195,"10,085,591.22","8,782,095.40","-712,292.54",-40.0574,"2,320,792.27",174.6162,41.6667,180.222,98.2968,151.8304,78.46,"-177,113.08","225,434,292.36","12,501,600.54",28.2923,28.282,28.2366,-0.1747,-1.03,1.2297,0.2034,-1.6497,-102.8788,-0.0016,-0.5027,39.4957,46.8133,24.8605,34.205,0.24,0.2851,50.119,77.0186,0.6351,28.235,0.7143,0.2,0.0909,0.3649,-0.0483,93.2843,-0.369,-0.0152,0.6371,-39.7171,26.309,1.5648,0.4783
